areaperil_id,lat,lon,IMTs
586,19.60861,-69.97794,SA(1.0)
587,18.36143,-71.08575,SA(0.6)
588,18.46072,-69.59528,SA(0.3)
589,19.57004,-69.93254,SA(0.3)
590,19.0039,-71.49338,SA(0.6)
591,19.13656,-71.57244,SA(0.6)
592,18.94287,-71.24026,SA(0.6)
593,18.75686,-71.11577,SA(0.6)
594,19.23409,-70.99304,PGA
595,18.33656,-71.20364,SA(0.6)
596,18.84718,-69.81502,SA(0.6)
597,19.10473,-70.30261,SA(0.3)
598,19.66342,-71.00429,SA(0.6)
599,19.42917,-70.45895,SA(0.6)
600,18.3952,-71.13365,SA(0.3)
601,19.38837,-71.31888,SA(0.6)
602,19.27582,-69.80653,SA(0.3)
603,19.16943,-69.64651,SA(0.6)
604,18.9551,-68.92142,SA(0.6)
605,19.72995,-70.43584,PGA
606,18.55903,-69.61099,PGA
607,18.71568,-70.07229,SA(0.3)
608,19.42373,-70.64409,SA(0.6)
609,18.60787,-71.63992,PGA
610,18.72484,-69.98582,PGA
611,18.60063,-70.60963,SA(0.6)
612,18.53884,-69.42039,SA(0.3)
613,19.6992,-70.92124,SA(0.6)
614,19.59317,-70.31004,SA(1.0)
615,19.30596,-71.64771,PGA
616,18.70584,-71.65568,PGA
617,19.66795,-70.82006,SA(0.3)
618,18.87872,-69.23926,PGA
619,19.27582,-69.80653,PGA
620,18.35934,-70.08223,PGA
621,18.92032,-71.46383,SA(0.6)
622,18.55087,-69.76955,SA(1.0)
623,18.27361,-70.21242,PGA
624,18.38189,-71.48184,PGA
625,19.30492,-69.93168,SA(0.3)
626,18.77765,-70.84377,SA(0.3)
627,19.81794,-70.80342,SA(0.6)
628,18.6617,-68.47696,SA(0.6)
629,18.6959,-69.25253,SA(0.6)
630,19.69201,-70.5175,PGA
631,19.01562,-71.59172,SA(0.3)
632,18.63583,-70.90402,SA(0.6)
633,18.25232,-70.2509,SA(0.6)
634,18.52219,-69.99898,PGA
635,18.87455,-71.38026,SA(0.3)
636,19.66795,-70.82006,PGA
637,18.6617,-68.47696,SA(0.3)
638,19.81794,-70.80342,SA(0.3)
639,18.04708,-71.20526,SA(0.6)
640,18.77765,-70.84377,SA(0.6)
641,18.84718,-69.81502,PGA
642,19.45067,-70.00796,SA(0.6)
643,19.21126,-69.42575,PGA
644,19.4222,-70.32984,SA(0.6)
645,18.38716,-71.17515,PGA
646,19.00642,-69.96251,PGA
647,19.39313,-69.87472,SA(0.3)
648,18.48846,-70.482,SA(1.0)
649,19.2414,-69.3513,PGA
650,18.29558,-71.59704,PGA
651,18.29558,-71.59704,SA(0.3)
652,18.53884,-69.42039,SA(0.6)
653,19.39313,-69.87472,PGA
654,18.73797,-70.24859,SA(0.3)
655,18.60063,-70.60963,SA(0.3)
656,19.81794,-70.80342,PGA
657,18.91458,-71.58988,SA(0.6)
658,18.55981,-71.20362,SA(0.6)
659,18.70465,-71.08923,SA(0.3)
660,18.38716,-71.17515,SA(0.3)
661,19.21126,-69.42575,SA(0.3)
662,18.68545,-71.48115,PGA
663,19.27582,-69.80653,SA(0.6)
664,18.52219,-69.99898,SA(1.0)
665,18.44607,-71.19217,SA(0.3)
666,18.3952,-71.13365,SA(0.6)
667,19.37647,-70.67144,PGA
668,19.68185,-71.39182,PGA
669,19.44866,-70.4948,PGA
670,18.94287,-71.24026,PGA
671,19.13446,-70.01221,SA(0.3)
672,18.94287,-71.24026,SA(0.3)
